name;description;longitude;latitude
Kelvinbaan 16 Nieuwegein;Krachtstroom EV-Box EVB-P1437209 mennekes;5.09385;52.03145
Kelvinbaan 16 Nieuwegein;Krachtstroom EV-Box EVB-P1437209 mennekes;5.09385;52.03145
Kelvinbaan 16 Nieuwegein;Krachtstroom EV-Box EVB-P1437209 mennekes;5.09385;52.03145
Kelvinbaan 16 Nieuwegein;Krachtstroom EV-Box EVB-P1437209 mennekes;5.09385;52.03145
Kelvinbaan 16 Nieuwegein;Krachtstroom EV-Box EVB-P1437207 mennekes;5.09686;52.03272
Kelvinbaan 16 Nieuwegein;Krachtstroom EV-Box EVB-P1437207 mennekes;5.09686;52.03272
Kelvinbaan 16 Nieuwegein;Krachtstroom EV-Box EVB-P1437207 mennekes;5.09686;52.03272
Kolenbranderstraat 10 Ridderkerk;Krachtstroom EV-Box EVB-P1430211 mennekes;4.61217902;51.87544675
Breehoven 2 Bennekom;Krachtstroom EV-Box EVB-P1523029 mennekes;5.67417;51.99242
Kolenbranderstraat 10 Ridderkerk;Krachtstroom EV-Box EVB-P1430211 mennekes;4.61217902;51.87544675
Kolenbranderstraat 10 Ridderkerk;Krachtstroom EV-Box EVB-P1430165 mennekes;4.61199815;51.87537983
Kolenbranderstraat 10 Ridderkerk;Krachtstroom EV-Box EVB-P1430165 mennekes;4.61199815;51.87537983
Marconistraat 12 Tiel;Krachtstroom EV-Box EVB-P1430071 mennekes;5.4315;51.90632
Engelandlaan 1242 Haarlem;Krachtstroom Allego NLALLEGO0005542 mennekes;4.64395631;52.35698098
Rua Cidade de Goa  Sacavém;Snellader R. Cidade de Goa chademo;-9.103729;38.786598
Autoestrada do Norte  Redinha;Snellader R. da AssociaÃ§Ã£o chademo;-8.613745;39.99614
R875  Tralee;Snellader RANDLES BROS TRALEE(Randles Brothers.Nissan) chademo;-9.676434;52.26326
Avenida Vasco da Gama  Miramar;Snellader SALVADOR CAETANO-INDÃšSTRIAS METALÃšRGICAS E VEÃCULOS DE TRANSPORTE SA chademo;-8.643563;41.067799
A422  Stratford-on-Avon;Snellader The Colt Car Co Ltd chademo;-1.900635;52.207607
Peninsula Square  London;Snellader The Nissan Innovation Station chademo;0.004125;51.501389
R692  Cashel;Snellader Topaz Service Station  Cashel chademo;-7.872809;52.509483
Finglas Road  Dublin;Snellader Topaz Service Station  Glasnevin chademo;-6.28879;53.380535
N54  Monaghan;Snellader Topaz Service Station  Monaghan chademo;-6.961529;54.252365
R113  Clondalkin;Snellader Topaz Service Station  Newlands Cross chademo;-6.407449;53.339504
Templeville Road  Rathfarnham;Snellader Topaz Service Station  Templeville chademo;-6.310323;53.303089
Boulevard International - Internationalelaan 11 Anderlecht;Snellader Total Anderlecht Road Service chademo;4.304023;50.816006
Boulevard Sylvain Dupuis - Sylvain Dupuislaan 457 Anderlecht;Snellader Total Anderlecht Westland chademo;4.284968;50.838314
Sint-Laureiskaai  Antwerpen;Snellader Total Bonaparte chademo;4.40215;51.230057
Rue de Rivoli - Rivolistraat 34 Ville de Bruxelles - Stad Brussel;Snellader Total Bruxelles Pacheco chademo;4.362943;50.85104
Chaussée de Waterloo - Waterloosesteenweg 1027 Uccle - Ukkel;Snellader Total Cambre chademo;4.372366;50.804245
Rue de la Grenouillette - Waterranonkelstraat  Ville de Bruxelles - Stad Brussel;Snellader Total Haren chademo;4.41712;50.882374
Rue Charles Lamquet  Namur;Snellader Total Jambes chademo;4.886813;50.463661
Schaarbeeklei 189 Vilvoorde;Snellader Total Station-servauto Bel-lux(Total Vilvoorde) chademo;4.426651;50.92028
Rue William Degouve de Nuncques - William Degouve de Nuncquesstraat 6 Schaerbeek - Schaarbeek;Snellader Total Schaerbeek Cerisiers chademo;4.408602;50.848213
Rue Claessens - Claessensstraat  Ville de Bruxelles - Stad Brussel;Snellader Total Station-servauto Bel-lux chademo;4.355199;50.871078
Rue Claessens - Claessensstraat  Ville de Bruxelles - Stad Brussel;Snellader Total Station-servauto Bel-lux(Total Port de Bruxelles) chademo;4.355192;50.871056
Avenue Orban - Orbanlaan  Woluwe-Saint-Pierre - Sint-Pieters-Woluwe;Snellader Total Woluwe-Saint-Pierre Orban chademo;4.463469;50.838264
Calle Quejío  Sevilla;Snellader Vanauto  (NissanDealer) chademo;-5.957789;37.364971
Spenrather Weg 1 Auweiler;Snellader Westfalen Gas Station chademo;6.84689;50.980042
R741  Castlebridge;Snellader Wexford Car Centre chademo;-6.453116;52.355446
Lakeshore Drive  Swords;Snellader Windsor Airside chademo;-6.222296;53.446117
Belgard Road  Tallaght;Snellader Windsor Belgard (NISSAN Main Dealer) chademo;-6.36986;53.294659
