OBJECTNUMMER;Energielabel;COORDS;LNG;LAT;
3673;"D";"POLYGON((4.891785 52.421928,4.89163 52.421878,4.8916 52.421912,4.89143 52.421858,4.891369 52.421922,4.891534 52.421982,4.891558 52.421956,4.891712 52.422008,4.891785 52.421928))";"4,891577";"52,4219345";
3674;"C";"POLYGON((4.820451 52.347788,4.820297 52.347786,4.820292 52.347985,4.820446 52.347987,4.820451 52.347788))";"4,8203715";"52,347887";
3675;"F";"POLYGON((4.880118 52.416613,4.879985 52.416505,4.879947 52.416524,4.879817 52.41642,4.879721 52.416465,4.879851 52.416569,4.879897 52.416547,4.880032 52.416654,4.880118 52.416613))";"4,8799195";"52,4165365";
3676;"C";"POLYGON((4.917336 52.394414,4.91701 52.394386,4.916989 52.394478,4.917316 52.394506,4.917336 52.394414))";"4,9171625";"52,3944455";
3677;"B";"POLYGON((4.802332 52.38184,4.802333 52.381762,4.801955 52.381755,4.801947 52.381836,4.802332 52.38184))";"4,80214";"52,381798";
3678;"D";"POLYGON((4.882178 52.414064,4.88189 52.413835,4.881805 52.413874,4.882094 52.414103,4.882178 52.414064))";"4,8819915";"52,413969";
3679;"D";"POLYGON((4.927253 52.392123,4.927183 52.392069,4.926836 52.392237,4.926906 52.392291,4.927253 52.392123))";"4,9270445";"52,3921815";
3680;"C";"POLYGON((4.965843 52.304316,4.965559 52.304219,4.965497 52.304288,4.965538 52.304302,4.96551 52.304334,4.965568 52.304354,4.965596 52.304322,4.965678 52.304351,4.96565 52.304382,4.965707 52.304401,4.965737 52.30437,4.965779 52.304385,4.965843 52.304316))";"4,96567";"52,3043095";
3681;"C";"POLYGON((4.820443 52.348077,4.820289 52.348075,4.820282 52.348272,4.820436 52.348274,4.820443 52.348077))";"4,8203625";"52,348175";
3682;"D";"POLYGON((4.922866 52.388928,4.922705 52.388764,4.922568 52.388816,4.922735 52.388979,4.922866 52.388928))";"4,922717";"52,388872";
3683;"E";"POLYGON((4.925455 52.393566,4.925351 52.393559,4.925296 52.393847,4.9254 52.393853,4.925455 52.393566))";"4,9253755";"52,3937055";
3684;"E";"POLYGON((4.892036 52.325034,4.891935 52.324983,4.891725 52.325142,4.891736 52.325202,4.891781 52.325222,4.892036 52.325034))";"4,8918805";"52,325102";
3685;"E";"POLYGON((4.908049 52.387312,4.908001 52.387241,4.907917 52.387263,4.907666 52.387227,4.90763 52.387299,4.907924 52.387344,4.908049 52.387312))";"4,9078395";"52,387285";
3686;"E";"POLYGON((4.89435 52.419212,4.894157 52.419167,4.894189 52.419134,4.894132 52.419122,4.893972 52.419294,4.894091 52.419336,4.894205 52.419217,4.89433 52.419246,4.89435 52.419212))";"4,894161";"52,4192275";
3687;"E";"POLYGON((4.926761 52.393283,4.926686 52.393226,4.926365 52.393381,4.92644 52.393439,4.926761 52.393283))";"4,926563";"52,3933335";
3688;"E";"POLYGON((4.946324 52.389362,4.946119 52.389106,4.946025 52.389134,4.946228 52.38939,4.946324 52.389362))";"4,9461745";"52,389248";
3689;"D";"POLYGON((4.940853 52.339308,4.940567 52.339137,4.940483 52.339194,4.940769 52.339361,4.940853 52.339308))";"4,940668";"52,3392485";
