LNG;LAT;ENERGY_PERFORMANCE
4.980814;52.2954005;3.122
4.8798025;52.3877255;2.589
4.853445;52.357672;6.788
4.9894325;52.3579505;2.531
4.986532;52.364769;2.626
4.9300505;52.336763;1.477
4.918145;52.3542575;4.439
4.937736;52.370691;3.478
4.8517065;52.3958375;3.919
4.8620685;52.3658045;7.38
4.9205075;52.3566245;4.53
4.905076;52.351538;6.273
4.855193;52.3371675;1.342
4.8738385;52.3634165;3.265
4.9008695;52.371288;3.998
4.9555765;52.3000905;5.069
4.918484;52.3533495;4.582
4.951434;52.3964135;3.448
4.936988;52.365501;6.593
4.9400435;52.359507;4.448
4.937664;52.365511;6.455
4.917693;52.412638;3.482
4.854903;52.334993;1.008
4.871728;52.3919695;3.707
4.8401385;52.3506355;2.623
4.9060025;52.3687475;3.637
4.887705;52.371847;5.949
4.881589;52.366804;4.901
4.9711155;52.292797;3.505
4.9685245;52.323906;5.874
4.837429;52.36236;1.651
4.92901;52.3654635;4.739
4.997196;52.354679;1.52
4.9094105;52.354765;5.88
4.9006195;52.3419265;5.591
4.891254;52.3906955;2.903
4.906725;52.358526;3.742
4.9080635;52.364771;2.438
4.8969635;52.3598575;4.172
4.979484;52.2990705;3.149
4.9448395;52.3613645;3.056
4.9835355;52.3001975;3.48
4.767053;52.35606;1.737
4.902618;52.338726;5.697
4.872597;52.3841115;5.227
4.9469275;52.30151;4.123
4.8656105;52.3683055;5.067
4.767949;52.3556635;1.487
4.8761365;52.389162;7.813
4.865582;52.367258;5.87
4.84855;52.3810085;6.117
4.9152205;52.396652;5.226
4.9849125;52.3002015;3.465
4.807826;52.364399;2.321
4.907144;52.369198;4.459
4.9015945;52.372194;4.312
4.8854945;52.3340665;7.349
4.7806205;52.3489535;2.164
4.9163805;52.3856505;4.182
4.890942;52.4125745;3.718
4.916207;52.399252;4.788
4.908766;52.3574445;3.73
4.916315;52.3536205;4.671
4.955608;52.3908485;5.425
4.974415;52.2918435;3.085
4.978217;52.29875;3.852
4.952547;52.3963855;4.172
4.914813;52.36096;3.377
4.9393795;52.370771;3.858
4.9268135;52.3653395;3.298
4.9229265;52.368799;3.955
4.8131415;52.344652;2.275
4.879979;52.3722;4.92
4.953443;52.2999155;4.076
4.8895605;52.3839285;2.283
4.9404325;52.3959595;7.365
4.8356285;52.3625165;3.222
4.9082915;52.3696445;4.741
4.9315605;52.378456;4.404
4.901468;52.342041;5.362
4.932596;52.3971465;6.453
4.8735425;52.3827975;3.885
4.976966;52.2983305;3.177
4.93641;52.3959825;7.097
4.9849955;52.2985245;3.285
4.9149975;52.384626;4.201
4.842066;52.382633;5.328
4.85095;52.3777905;5.852
4.894737;52.382166;7.355
4.8433885;52.3635255;3.559
4.8577245;52.3628025;5.399
4.9186855;52.370314;3.537
4.9253315;52.3683375;3.766
4.911519;52.3890705;5.687
4.9559955;52.3105145;5.682
4.9262555;52.378843;3.943
4.90216;52.369551;1.975
4.8568735;52.341612;6.694
4.840979;52.382612;4.353
4.8495055;52.381115;6.866
4.8396745;52.3873115;4.621
4.934038;52.3983785;6.809
4.897735;52.3586695;2.711
4.8741555;52.3347285;6.705
4.938696;52.3658465;3.798
4.885316;52.383419;3.031
4.8735235;52.3638895;4.335
4.9836245;52.2939245;3.348
4.860201;52.350964;5.981
4.813974;52.3454095;3.897
4.8867035;52.333912;6.132
4.896707;52.3740345;3.558
4.928809;52.378891;3.675
4.966375;52.320713;3.057
4.942326;52.37158;3.762
4.871371;52.374445;4.454
4.8694575;52.3801975;4.893
4.9792365;52.2938025;3.475
4.888671;52.4124375;3.689
4.988067;52.2978435;3.702
4.986541;52.295391;3.955
4.879689;52.3686045;3.998
4.884304;52.3527625;3.022
4.9157265;52.39237;6.905
4.785966;52.3552835;3.853
4.9457955;52.3407725;5.55
4.946217;52.3642485;3.886
4.932069;52.3960495;7.776
4.8606985;52.3502615;4.575
4.980517;52.2937735;3.586
4.8492345;52.3778285;5.11
4.8371165;52.364794;2.788
4.983518;52.298595;3.657
4.9242555;52.368799;2.085
4.8718815;52.341261;4.309
4.8538855;52.3625145;4.485
4.9169345;52.3861385;4.123
4.940335;52.3731025;2.781
4.795777;52.3571055;3.456
4.80451;52.3791335;2.32
4.9145905;52.346764;5.736
4.889331;52.3894905;5.032
4.8724735;52.3657535;4.274
4.877732;52.384832;4.288
4.964655;52.3113705;1.464
4.902043;52.3725145;3.037
4.877177;52.3838255;5.347
4.8230415;52.381521;7.354
4.9153605;52.3916435;6.797
4.8466775;52.3854715;7.804
4.893891;52.3803805;7.366
4.8399605;52.3478065;4.093
4.8868805;52.3825645;4.352
4.972159;52.2934055;3.736
4.86914;52.3810365;4.541
4.9078395;52.3954295;3.034
4.799188;52.376816;7.549
4.837326;52.3932595;2.198
4.8662675;52.3704585;4.11
4.86796;52.383028;3.605
4.7861185;52.35729;5.882
4.971191;52.316456;2.638
4.9732005;52.2918605;3.619
4.871814;52.334721;6.401
4.9696505;52.318142;2.923
4.8534575;52.3686655;5.262
4.968575;52.317772;2.702
4.886343;52.3893355;5.288
4.8693525;52.3341695;6.362
4.9142145;52.3554935;5.946
4.9136825;52.384695;3.04
4.8719405;52.3742925;4.066
4.8989965;52.4070815;3.004
4.9131035;52.3512995;2.791
4.9007635;52.3385795;4.646
4.907341;52.339428;7.281
4.9665785;52.2928505;3.748
4.934474;52.397316;7.808
4.961981;52.3921985;4.309
4.901102;52.37011;4.416
4.9623425;52.2977355;5.845
4.8550435;52.3694745;3.461
4.9242075;52.3790645;3.236
4.8999865;52.370367;3.032
4.873674;52.3661;3.009
4.817837;52.343241;1.554
4.9558775;52.3921225;4.05
4.9005605;52.339651;7.197
4.8894275;52.383358;2.9
4.9765755;52.296068;1.181
4.8220515;52.3777715;5.658
4.881082;52.3583625;4.475
4.888561;52.3256035;5.237
4.8864605;52.3896425;5.947
4.858912;52.380266;5.703
4.889385;52.3878805;3.324
4.8194665;52.377773;4.07
4.8778375;52.377037;6.982
4.9128655;52.3840735;3.634
4.8127115;52.375082;5.639
4.924947;52.366205;3.059
4.889109;52.386072;4.588
4.978159;52.296598;3.652
4.938275;52.3961505;7.296
4.9264535;52.3792555;3.322
4.9756935;52.294655;4.779
4.9598925;52.3950465;5.803
4.9163575;52.344694;5.029
4.7858855;52.3619275;7.108
4.8581335;52.3634665;7.269
4.903221;52.371996;4.103
4.936279;52.36627;5.322
4.917841;52.354723;3.083
4.7967505;52.3631115;6.201
4.979793;52.295353;5.316
4.942997;52.4019435;5.827
4.819747;52.3908215;7.168
4.8035355;52.3612955;4.59
4.9422335;52.4012275;4.996
4.9177655;52.382593;3.088
4.892313;52.4147395;2.327
4.840086;52.3528635;3.295
4.9513225;52.3658065;1.094
4.87036;52.3500115;3.608
4.913186;52.4058835;5.226
4.8762785;52.366854;4.53
4.9118055;52.3822935;3.994
4.94231;52.3097075;5.535
4.9377095;52.401573;5.205
4.9115435;52.398525;5.67
4.9827915;52.307724;4.205
4.975737;52.298113;4.187
4.9122235;52.3842125;3.576
4.9234495;52.3692345;3.846
4.987805;52.3643895;2.547
4.9583795;52.3108825;5.759
4.917065;52.3450105;3.662
4.844532;52.374537;5.811
4.923029;52.3715915;1.594
4.9509815;52.3207665;5.54
4.8046705;52.345512;2.695
4.9881;52.2953565;3.806
4.880836;52.32873;1.522
4.8612425;52.322838;3.408
4.8721765;52.391443;6.686
4.9148365;52.3899495;6.379
4.92928;52.3692495;5.048
4.9134205;52.3892175;5.899
4.9161375;52.397541;5.875
4.9572855;52.3117735;6.213
4.833113;52.344767;3.889
4.9291175;52.405064;2.336
4.941245;52.400032;3.308
4.9155925;52.3624345;1.963
4.9051065;52.368395;3.957
4.904748;52.3554955;2.664
4.8587005;52.340645;7.283
4.8474735;52.3813225;5.402
4.8197815;52.3825645;4.643
4.987778;52.297142;3.845
4.8771495;52.375948;6.609
4.826309;52.3633135;5.161
4.973425;52.294821;5.091
4.801427;52.3587055;4.219
4.866575;52.368534;3.885
4.935605;52.3998815;4.403
4.797077;52.3567565;2.075
4.7955215;52.3575115;3.61
4.8931525;52.4143565;3.366
4.9335635;52.396387;7.597
4.8014165;52.365154;4.849
4.7913485;52.3579255;5.98
4.7927955;52.3582195;5.124
4.9725365;52.2961275;5.467
4.906215;52.3604355;1.086
4.8570305;52.352007;4.282
4.922331;52.3740275;5.287
4.798147;52.3547785;2.466
4.797585;52.3558215;2.629
4.888037;52.387461;3.683
4.912097;52.4049855;5.762
4.944972;52.401005;4.221
4.8280745;52.37336;6.703
4.9632855;52.2968735;5.57
